"stormnum","StartDate","EndDate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","site","unique_storm_number"
87,2017-03-07 00:09:00,2017-03-07 01:39:00,0.172,1.5,0.114666666666667,0.444,0.276,0.216,0.182,0.145,107.07999498712,0.194885590876558,118.899221771155,0.216396583623502,0.009,0.009,0.333,0.369,"SW1",196
88,2017-03-24 15:00:00,2017-03-25 05:53:00,0.504,14.8833333333333,0.0338633818589026,0.324,0.27,0.216,0.144,0.099,213.597146872758,0.307579891496771,254.796405405344,0.366906823783696,0,0,0,0,"SW1",198
89,2017-03-25 15:15:00,2017-03-26 20:54:00,0.423,29.65,0.0142664418212479,0.324,0.216,0.252,0.216,0.135,181.343117838191,0.391701134530493,191.650049866363,0.413964107711344,0.486,0.504,0.504,0.504,"SW1",199
90,2017-03-29 23:12:00,2017-03-30 21:09:00,0.405,21.95,0.0184510250569476,0.108,0.108,0.108,0.09,0.09,154.887984140242,0.139399185726218,168.766302906771,0.151889672616094,0,0,0.927,0.927,"SW1",200
91,2017-04-03 19:22:00,2017-04-04 10:08:00,0.369,14.7666666666667,0.0249887133182844,0.108,0.108,0.072,0.072,0.054,137.99822847073,0.0993587244989256,155.233311158332,0.111767984033999,0,0,0.405,1.332,"SW1",201
92,2017-04-15 00:55:00,2017-04-15 06:14:00,0.723,5.31666666666667,0.135987460815047,0.78,0.6,0.544,0.434,0.29,483.770799457853,2.09956526964708,516.395730468224,2.24115747023209,0,0,0,0.369,"SW1",202
93,2017-04-15 23:10:00,2017-04-16 02:36:00,0.729,3.43333333333333,0.212330097087379,2.328,1.782,1.296,0.738,0.414,560.483990700153,4.13637185136713,583.894630066778,4.30914236989282,0.723,0.723,0.723,1.092,"SW1",203
94,2017-04-20 00:22:00,2017-04-20 06:22:00,0.853,6,0.142166666666667,1.128,0.726,0.556,0.42,0.385,632.551438070733,2.65671603989708,651.952271394585,2.73819953985726,0,0,1.452,1.452,"SW1",204
95,2017-04-27 00:25:00,2017-04-27 14:20:00,0.909,13.9166666666667,0.0653173652694611,0.216,0.216,0.216,0.18,0.153,429.561267461425,0.773210281430565,524.988168207895,0.944978702774212,0,0,0.844,2.305,"SW1",205
96,2017-04-30 22:58:00,2017-05-01 15:01:00,0.81,16.05,0.0504672897196262,0.54,0.486,0.432,0.396,0.324,533.493320501837,2.11263354918727,573.762083788219,2.27209785180135,0,0,0.909,1.762,"SW1",206
97,2017-05-01 15:01:00,2017-05-02 03:02:00,0.218,12.0166666666667,0.0181414701803051,0.672,0.444,0.368,0.184,0.092,118.640838118436,0.218299142137923,115.4186194619,0.212370259809895,0.801,0.801,1.71,2.563,"SW1",207
98,2017-06-03 20:52:00,2017-06-04 00:01:00,1.01,3.15,0.320634920634921,5.208,4.254,3.572,1.84,0.947,1033.99038567667,19.0254230964507,1015.02727339211,18.6765018304149,0,0,0,0,"SW1",208
99,2017-06-22 00:51:00,2017-06-22 05:23:00,1.191,4.53333333333333,0.262720588235294,3.816,2.532,1.76,1.268,0.688,1183.84905182404,15.0112059771288,1135.10279861578,14.3931034864481,0,0,0,0,"SW1",209
100,2017-06-22 14:38:00,2017-06-23 06:20:00,0.878,15.7,0.0559235668789809,1.02,0.564,0.412,0.298,0.185,487.07732287083,1.45149042215507,545.746497865156,1.62632456363816,1.191,1.191,1.191,1.191,"SW1",210
101,2017-07-07 16:45:00,2017-07-07 20:33:00,1.385,3.8,0.364473684210526,2.58,2.328,2.212,1.692,1.045,1384.11871094462,23.419288589183,1323.16273772715,22.3879135223433,0,0,0,0,"SW1",211
102,2017-07-15 20:40:00,2017-07-15 21:26:00,0.793,0.766666666666667,1.03434782608696,3.324,2.652,2.3,1.46,0.793,807.400712850691,11.7880504076201,777.414932734868,11.3502580179291,0,0,0,1.385,"SW1",212
103,2017-08-03 09:57:00,2017-08-03 16:41:00,1.617,6.73333333333333,0.240148514851485,3.792,2.88,2.54,1.664,0.987,1442.18431847437,23.9979470594136,1431.42530199248,23.8189170251549,0,0,0,0,"SW1",213
104,2017-08-04 07:00:00,2017-08-04 11:56:00,0.348,4.93333333333333,0.0705405405405405,1.248,0.954,0.744,0.444,0.267,246.795167567991,1.09577054400188,248.099984645703,1.10156393182692,1.617,1.617,1.617,1.617,"SW1",214
